Commodity;Avg sell;Avg buy;Avg profit;Max sell;Min buy;Max profit
Chemicals;;;;;;
Agronomic Treatment;3,966 Cr;3,392 Cr;574 Cr;35,779 Cr;251 Cr;35,528 Cr
Explosives;636 Cr;383 Cr;253 Cr;2,085 Cr;13 Cr;2,072 Cr
Hydrogen Fuel;99 Cr;94 Cr;5 Cr;187 Cr;8 Cr;179 Cr
Hydrogen Peroxide;3,076 Cr;0 Cr;3,076 Cr;3,301 Cr;0 Cr;3,301 Cr
Liquid oxygen;1,504 Cr;781 Cr;723 Cr;4,201 Cr;44 Cr;4,157 Cr
Mineral Oil;772 Cr;296 Cr;476 Cr;1,483 Cr;9 Cr;1,474 Cr
Nerve Agents;13,215 Cr;11,829 Cr;1,386 Cr;14,489 Cr;1,199 Cr;13,290 Cr
Pesticides;494 Cr;188 Cr;306 Cr;1,678 Cr;17 Cr;1,661 Cr
Rockforth Fertiliser;0 Cr;0 Cr;0 Cr;0 Cr;0 Cr;0 Cr
Surface Stabilisers;705 Cr;571 Cr;134 Cr;2,908 Cr;33 Cr;2,875 Cr
Synthetic Reagents;7,134 Cr;5,927 Cr;1,207 Cr;7,851 Cr;593 Cr;7,258 Cr
Tritium;52,967 Cr;51,129 Cr;1,838 Cr;61,839 Cr;40,670 Cr;21,169 Cr
Water;494 Cr;46 Cr;448 Cr;3,947 Cr;2 Cr;3,945 Cr
Consumer Items;;;;;;
Clothing;743 Cr;364 Cr;379 Cr;3,552 Cr;26 Cr;3,526 Cr
Consumer Technology;7,234 Cr;5,738 Cr;1,496 Cr;7,851 Cr;531 Cr;7,320 Cr
Domestic Appliances;922 Cr;539 Cr;383 Cr;1,216 Cr;42 Cr;1,174 Cr
Evacuation Shelter;646 Cr;297 Cr;349 Cr;4,095 Cr;35 Cr;4,060 Cr
Survival Equipment;749 Cr;555 Cr;194 Cr;10,382 Cr;272 Cr;10,110 Cr
Legal Drugs;;;;;;
Beer;615 Cr;200 Cr;415 Cr;30,485 Cr;11 Cr;30,474 Cr
Bootleg Liquor;650 Cr;0 Cr;650 Cr;5,319 Cr;0 Cr;5,319 Cr
Liquor;1,021 Cr;655 Cr;366 Cr;51,375 Cr;48 Cr;51,327 Cr
Narcotics;9,525 Cr;8,111 Cr;1,414 Cr;11,350 Cr;783 Cr;10,567 Cr
Onionhead Gamma Strain;5,226 Cr;2,542 Cr;2,684 Cr;7,070 Cr;248 Cr;6,822 Cr
Tobacco;5,343 Cr;4,337 Cr;1,006 Cr;6,964 Cr;380 Cr;6,584 Cr
Wine;685 Cr;322 Cr;363 Cr;33,953 Cr;18 Cr;33,935 Cr
Foods;;;;;;
Algae;530 Cr;89 Cr;441 Cr;2,180 Cr;4 Cr;2,176 Cr
Animal Meat;1,831 Cr;1,312 Cr;519 Cr;4,762 Cr;107 Cr;4,655 Cr
Coffee;1,777 Cr;1,266 Cr;511 Cr;3,037 Cr;105 Cr;2,932 Cr
Fish;883 Cr;478 Cr;405 Cr;8,800 Cr;29 Cr;8,771 Cr
Food Cartridges;370 Cr;77 Cr;293 Cr;4,189 Cr;4 Cr;4,185 Cr
Fruit and Vegetables;743 Cr;360 Cr;383 Cr;12,142 Cr;19 Cr;12,123 Cr
Grain;628 Cr;230 Cr;398 Cr;13,505 Cr;10 Cr;13,495 Cr
Synthetic Meat;672 Cr;228 Cr;444 Cr;4,850 Cr;19 Cr;4,831 Cr
Tea;1,986 Cr;1,439 Cr;547 Cr;3,043 Cr;105 Cr;2,938 Cr
Industrial Materials;;;;;;
Ceramic Composites;991 Cr;330 Cr;661 Cr;10,601 Cr;78 Cr;10,523 Cr
CMM Composite;6,691 Cr;5,626 Cr;1,065 Cr;23,948 Cr;4,796 Cr;19,152 Cr
Insulating Membrane;11,119 Cr;9,943 Cr;1,176 Cr;20,594 Cr;8,653 Cr;11,941 Cr
Meta-Alloys;199,011 Cr;271,014 Cr;-72,003 Cr;271,000 Cr;271,014 Cr;-14 Cr
Micro-weave Cooling Hoses;1,874 Cr;0 Cr;1,874 Cr;6,208 Cr;0 Cr;6,208 Cr
Neofabric Insulation;5,997 Cr;4,397 Cr;1,600 Cr;20,017 Cr;4,011 Cr;16,006 Cr
Polymers;513 Cr;172 Cr;341 Cr;9,209 Cr;5 Cr;9,204 Cr
Semiconductors;1,222 Cr;901 Cr;321 Cr;2,018 Cr;69 Cr;1,949 Cr
Superconductors;6,910 Cr;6,129 Cr;781 Cr;10,638 Cr;5,186 Cr;5,452 Cr
Machinery;;;;;;
Articulation Motors;7,443 Cr;0 Cr;7,443 Cr;7,851 Cr;0 Cr;7,851 Cr
Atmospheric Processors;513 Cr;371 Cr;142 Cr;1,849 Cr;31 Cr;1,818 Cr
Building Fabricators;2,275 Cr;2,044 Cr;231 Cr;4,334 Cr;158 Cr;4,176 Cr
Crop Harvesters;2,111 Cr;1,954 Cr;157 Cr;3,708 Cr;165 Cr;3,543 Cr
Emergency Power Cells;2,868 Cr;1,956 Cr;912 Cr;6,660 Cr;1,785 Cr;4,875 Cr
Energy Grid Assembly;3,163 Cr;2,258 Cr;905 Cr;6,860 Cr;2,089 Cr;4,771 Cr
Exhaust Manifold;2,286 Cr;1,407 Cr;879 Cr;2,507 Cr;1,362 Cr;1,145 Cr
Geological Equipment;1,849 Cr;1,656 Cr;193 Cr;2,875 Cr;137 Cr;2,738 Cr
Heatsink Interlink;2,537 Cr;1,707 Cr;830 Cr;2,764 Cr;1,547 Cr;1,217 Cr
HN Shock Mount;1,781 Cr;1,561 Cr;220 Cr;2,634 Cr;133 Cr;2,501 Cr
Ion Distributor;2,791 Cr;1,933 Cr;858 Cr;3,053 Cr;1,688 Cr;1,365 Cr
Magnetic Emitter Coil;1,735 Cr;1,095 Cr;640 Cr;1,922 Cr;924 Cr;998 Cr
Marine Equipment;3,919 Cr;3,727 Cr;192 Cr;5,508 Cr;322 Cr;5,186 Cr
Microbial Furnaces;623 Cr;164 Cr;459 Cr;1,941 Cr;16 Cr;1,925 Cr
Mineral Extractors;901 Cr;591 Cr;310 Cr;2,647 Cr;41 Cr;2,606 Cr
Modular Terminals;2,418 Cr;0 Cr;2,418 Cr;2,634 Cr;0 Cr;2,634 Cr
Power Converter;1,862 Cr;1,146 Cr;716 Cr;6,187 Cr;1,008 Cr;5,179 Cr
Power Generators;2,766 Cr;2,218 Cr;548 Cr;9,864 Cr;1,644 Cr;8,220 Cr
Power Transfer Bus;2,648 Cr;1,706 Cr;942 Cr;6,460 Cr;1,647 Cr;4,813 Cr
Radiation Baffle;2,167 Cr;1,336 Cr;831 Cr;2,396 Cr;1,249 Cr;1,147 Cr
Reinforced Mounting Plate;2,864 Cr;2,003 Cr;861 Cr;3,212 Cr;1,858 Cr;1,354 Cr
Skimmer Components;1,048 Cr;858 Cr;190 Cr;1,703 Cr;77 Cr;1,626 Cr
Thermal Cooling Units;3,710 Cr;3,433 Cr;277 Cr;4,952 Cr;311 Cr;4,641 Cr
Water Purifiers;729 Cr;407 Cr;322 Cr;3,131 Cr;64 Cr;3,067 Cr
Medicines;;;;;;
Advanced Medicines;1,731 Cr;1,135 Cr;596 Cr;4,805 Cr;109 Cr;4,696 Cr
Agri-Medicines;1,316 Cr;895 Cr;421 Cr;1,771 Cr;113 Cr;1,658 Cr
Basic Medicines;635 Cr;339 Cr;296 Cr;5,258 Cr;23 Cr;5,235 Cr
