Material,Ring Type,Additional Info,Hotspot Available
Alexandrite,Rocky,Best in Pristine reserves,Yes
Bauxite,Rocky,Common in all rocky rings,No
Benitoite,Rocky,Best in Pristine reserves,Yes
Bertrandite,Rocky/Icy,More common in rocky rings,No
Bromellite,Icy,Best in Pristine reserves,Yes
Coltan,Rocky/Metal-Rich,More common in metal-rich,No
Cryolite,Icy,Best in Pristine reserves,Yes
Gallite,Rocky/Metallic,More common in metallic,No
Goslarite,Icy,Best in Pristine reserves,Yes
Grandidierite,Rocky,Best in Pristine reserves,Yes
Indite,Rocky/Metal-Rich,More common in metal-rich,No
Jadeite,Rocky,Best in Pristine reserves,Yes
Lepidolite,Rocky,Common in all rocky rings,No
Lithium Hydroxide,Icy,Best in Pristine reserves,Yes
Low Temperature Diamonds,Icy,Best in Pristine reserves,Yes
Methane Clathrate,Icy,Common in all icy rings,No
Methanol Monohydrate Crystals,Icy,Common in all icy rings,No
Moissanite,Rocky,Best in Pristine reserves,Yes
Monazite,Rocky,Best in Pristine reserves,Yes
Musgravite,Rocky,Best in Pristine reserves,Yes
Painite,Metallic,Best in Pristine reserves,Yes
Pyrophyllite,Rocky,Best in Pristine reserves,Yes
Rhodplumsite,Rocky,Best in Pristine reserves,Yes
Rutile,Metal-Rich/Rocky,More common in metal-rich,No
Serendibite,Rocky,Best in Pristine reserves,Yes
Taaffeite,Rocky,Best in Pristine reserves,Yes
Uraninite,Rocky/Metal-Rich,Higher yields in metal-rich,No
Void Opal,Icy,Best in Pristine reserves,Yes
